출처,작성자,날짜,제목,내용,공감,비공감,조회수
네이버리뷰,,,광대 : 소리꾼 2월 24일 재개봉... 조정래감독의 심청전 극중극 영화,"안뇽하세요~ 아윤대디에요~
영화관을 못간지 어언 2년이 넘어가고,, 오미크론은 점점 더 심해지고,,
그래도 영화관을 가서 영화를 보고 싶은 마음에 2월 개봉예정영화를 찾던 도중
명작 하나를 발견했습니다.!!
​
[ 광대 : 소리꾼 ]
출처 : 네이버 영화 광대 : 소리꾼 (2022) 메인포스터
어라? 어디서 많이 본 제목인데?
맞습니다. [광대 : 소리꾼]은 2020년에 개봉한 영화 [소리꾼]의 감독판이라고 볼 수 있습니다,
그럼 영화 소리꾼의 재개봉이라고 볼 수 있는데요.
광대 : 소리꾼의 재개봉은 22년 2월 24일이구요.
소리꾼의 조정래 감독은 재개봉이 아닌 새개봉이라고 강조했는데요.
왜 새개봉인지 한번 알아볼까요?
​
2020년 개봉 영화 소리꾼
출처 : 네이버 영화 소리꾼(2020) 메인포스터
소리꾼 (2020)
개봉 2020.07.01
12세 관람가
사극, 드라마
러닝타임 130분
감독 조정래
각본 조정래
출연 이봉근 이유리 김하연 박철민 김동완 김민준 등
​
영조 10년, 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이. 학규를 중심으로 뭉친 새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정이 시작된다. 가족을 찾기 위한 학규의 울림 있는 외침 ""우리는 다시 만나야 한다!"" 민족의 흥과 한이 다시 울려 퍼진다!
출처 : 네이버 영화
저는 영화 [소리꾼]을 영화관에서 직접 보지는 못하고 이번에 새개봉이 확정되고 나서 따로 결제 후 VOD로 보게 되었는데요. 가장 먼저 눈에 띄는 것은 바로 주연배우 라인업이었습니다.
이봉근, 이유리, 김하연, 박철민, 김동완, 김민준,,
이봉근님과 김하연님을 제외하고 이유리, 박철민, 김동완, 김민준님 같은 경우는 이미 인지도가 높은 배우들이었죠.
하지만 이봉근이 누구길래 주연배우 라인업 중 가장 앞쪽에 써있을까요?
바로 국악인 이봉근 이었습니다.
영화 [소리꾼]은 전문 국악인, 비전문배우를 처음 주연으로 등장시킨 첫 영화라고 볼 수 있습니다.
영화자체가 판소리 영화이기 때문에 극의 감동을 위해 전문 배우가 판소리를 하는것보다는 전문 국악인이 직접 소리를 내는 것이 맞다는 판단을 한듯합니다. 실제로 영화에서도 판소리로 인해 극의 감동이 더 진해졌어서 도전적이었지만 성공적인 캐스팅이었다고 볼 수 있겠네요. 그리고 학규의 딸 청이를 연기한 김하연의 소리와 이유리의 정극연기, 박철민의 간간히 웃음을 주는 시그니쳐 연기가 더해져 감동을 배로 높인듯 합니다.
​
출처 :네이버 영화 조정래 감독
[소리꾼]을 기획하고 메가폰까지 잡은 조정래 감독은 2016년 영화 [귀향]을 제작하면서 본인만의 색깔로 필모그래피를 쌓아오고 있었습니다. [귀향]이라는 작품도 개봉 후 1년뒤 [귀향, 끝나지 않은 이야기]로 감독판 재개봉을 하면서 이목을 끌었었죠.
[소리꾼]은 판소리의 고수로서 활동해온 조정래 감독에게 오래전부터 기획되어온 작품이라고 볼 수 있습니다.
영화 [서편제]를 동경해오며 꿈꾸먼 판소리 영화를 제작한것이 영화 [소리꾼]이었으며 고수로서 공연을 돌다 위안부 할머니들을 만나면서 영화 [귀향]이 시작되었다고 합니다.
조정래 감독에게는 판소리는 뗄래야 땔 수 없는 존개 중 하나인거죠.
영화 소리꾼(2020)은 심청전의 기원을 조정래 감독만의 각색으로 재미있게 이끌어 냈습니다.
항상 판소리공연을 볼때 소리는 귀에 잘 들어오나 판소리의 이야기, 즉 내용들이 잘 들어오지 않아 길게 보지 못했던것 같은데요. 영화 소리꾼(2020)은 판소리의 이야기와 감정이 영화에 잘 녹아들어 판소리를 이해하면서 보게된 첫 작품이었습니다.
심청전의 내용을 전래동화로만 접했었던 저는 판소리 심청전을 보며 처음으로 눈물을 훔쳤던,,,
출처 : 네이버 영화  극중극 춘향전의 일부 장면
그리고 새개봉된 영화 광대 : 소리꾼 (2022)에서는 춘향전의 이야기를 풀어냈다고 하죠. 이미 많은 작품에서 보여졌던 춘향전이 판소리 영화에서 어떻게 보여질지 너무너무 궁금합니다.
​
광대 : 소리꾼 의 예고편
소리꾼(2020)의 런칭예고편입니다.
판소리 공연을 볼 떄 필요한 것. 소리꾼, 고수, 관객을 영화에 담아냈습니다.
그리고 영화 [연가시]에서 배우로서의 입지를 다졌던 김동완부터 시작되는 런칭예고편이 눈길을 끄네요.
​
소리꾼(2020)의 캐릭터 예고편입니다.
각자의 캐릭터들을 배우들이 직접 설명해주고 캐릭터를 탄생시킨 조정래 감독의 의도가 보기 쉽게 정리되어 있습니다.
​
소리꾼(2020)의 메인예고편입니다.
소리꾼(2020)에서 보여지는 소리가 심청전이라는걸 알 수 있죠?
영조떄의 시대 배경이 보이고 판소리의 특성을 보여주고 있습니다.
우리가 흔히 알고 있는 이야기들, 춘향전, 심청전, 흥부전, 별주부전 등은 문자로 내려오지 않았습니다.
예전부터 소리꾼들의 소리고 이야기들이 내려오고 많은 소리꾼과 관객들을 거치며 이야기가 조금씩 변형되며 내려오다가 판소리가 인기가 많아 지면서 문자로 기록되기 시작했다는데요. 그 이야기 중 심청전의 시작을 영화 [소리꾼[에서 새로운 시각으로 보여주고 있습니다.
​
​
광대 : 소리꾼 (2022)의 새로운 예고편입니다.
기존 소리꾼(2020)과 60%이상이 다르다고 해서 기대했지만 새로운 예고편에서는 기존 소리꾼(2020)의 영상들만 보였던것 같습니다. 그래서 더 궁금해지기도 하는데요. 이걸 노린걸까요? 크크
예고편에서도 말해줬듯이 소리꾼(2020)의 소리에 광대들이 이야기가 더해질 것으로 예상됩니다.
제가 소리꾼(2020)을 봐서 그런지 모르겠지만
광대 : 소리꾼 (2022)의 새 예고편으로 소리꾼(2020)의 전체 이야기를 가늠할 수 있을것 같습니다.
출처 : 네이버 영화
​
광대 : 소리꾼 등장인물 - 출연진
학규 역 - 이봉근
출처 : 네이버 영화
뛰어는 소리실력을 갖춘 소리꾼 심학규, 납치된 아내 간난을 찾기 위해 먼길을 떠납니다.
딸 청이를 위해 들려주던 이야기에 소리가락이 더해져 점차 사람들에게 인기를 얻게 되면서 간난을 찾는데 도움을 얻습니다.
여기서 소리를 들려주던 이야기가 심청전이네요.
출처 : 네이버 영화
전문 국악인이 조연이나 카메오가 아닌 주연으로 영화의 내용을 이끌고 가기에는 조금 부족하지 않았나 싶다가도
이봉근님의 소리를 듣고 있자면 전문 국악인이 아니고서는 도저히 소리로서 감동을 전할 수 없겠다는 생각도 들었습니다.
프로필 직업란에 이젠 배우도 적혀있는 배우 이봉근님의 다음작품도 기대하겠습니다.
간난 역 - 이유리
출처 : 네이버 영화
어려웠던 시기 인신매매를 일삼는 조직에게 납치당하게 됩니다.
납치된 상황속에서도 반항도 하고 도망치기 위해 도움도 청해보지만 소용이 없자 속절없이 끌려가는 신세가 되고 맙니다.
출처 : 네이버 영화
기존에 드라마에서 보여줬던 이미지와는 정반대인 캐릭터를 보여줘 놀랬습니다.
웃음기, 독기 없는 연기를 보여주는 이유리 배우가 낯설지만 한편으로는 더 몰입되는 연기력을 보여줬다고 생각합니다.
​
청이 역 - 김하연
출처 : 네이버 영화
아버지 학규와 어머니 간난을 잘 따르는 착한 딸이며
어머니 간난과 함께 인신매매 조직에게 납치되었다가 산에서 도망치던 중 사고로 시력을 잃게 됩니다.
어머니를 찾기 위해 눈이 불편하지만 아버지 학규와 함께 길을 나서게 됩니다.
출처 : 네이버 영화
학규 역의 이봉근님의 소리만 듣다가 청이 역의 김하연 아역배우의 소리를 들었을떄의 코 끝 찡함이 오래가드라구요.
소리에서도 감동을 주었지만 애절한 연기 또한 작위적이지 않아서 영화를 볼떄 몰입이 깨지지 않았습니다.
​
대봉 역 - 박철민
출처 : 네이버 영화
학규와 함께 사당패에서 사람들에게 흥을 보여주던 꽹가리 잡이 대봉은
학규, 청이와 함께 길을 나서다가 어느 장터인지 북 하나를 구한 뒤부터 판소리의 고수역할을 맡게됩니다.
출처 : 네이버 영화
박철민 배우 특유의 유머로 극의 무거운 분위기를 풀어주는데요. 단순히 웃음을 주는 캐릭터가 아닌 극의 중심을 잡아주는 정극연기가 느껴져 박철민 배우님의 새로운면을 보았습니다.
​
​
몰락 양반 역 - 김동완
출처 : 네이버 영화
도씨와 함께 유랑하는 몰락한 양반 역을 맡았습니다.
철 없는 몰락 양반 역이 꽤나 잘어울리네요.
극의 후반부, 연회장에서의 난입은 춘향전을 떠오르게 합니다.
출처 : 네이버 영화
이번 영화가 첫 연기도전인줄 알았습니다.
그래서 어색하지 않을까 걱정했었는데 오히려 편한하게 볼 수 있는 배우 중 한분이셨습니다.
뮤지컬을 통해서 탄탄한 연기력을 쌓아오셨더라구요. wow!
​
도씨 역 - 김강현
출처 : 네이버 영화
몰략 양반을 도련님이라 부르며 따라다니는 역할이며 대봉(박철민)과 함께
학규와 청이에게 웃음을 주는 캐릭터입니다.
꽤나 우수한 무술실력도 갖고 있는 듯 합니다.
​
다양한 작품들의 김강현님의 연기들을 보고 있자면 나도 모르게 미소를 띄고 보게되는 매력을 지니고 있습니다.
역시나 이번 영화에서도 김강현님의 매력을 뿜뿜 하셨네요.^^
​
김준 역 - 김민준
출처 : 네이버 영화
불법적으로 인신매매 조직을 돕던 탐관오리, 악역으로서의 모습이 인상 깊습니다.
단조로운 극의 흐름에서 충분히 돋보이는 악역이었습니다.
​
사실 제가 기억하는 작품속 김민준 배우는 로맨틱한 남주밖엔 없었습니다.
2000년대 중반 다모, 프라하의 연인 등으로 많은 여성분들의 마음을 훔쳤던 연기는 온데간데 없이
악역으로서의 면모를 충분히 보여주었습니다.
​
​
그 외 많은 배우분들이 나오셨지만 기억에 남는 특별출연 배우들이 기억에 남습니다.
영조 역의 이필모 배우와 남경선인 역의 조상기 배우인데요.
출처 : KBS 연모
배우 이필모는 드라마 [연모]에서의 혜종역을 진실성 있게 보여주었고 그의 연장선상으로 영조역을 연기한 느낌이었습니다.
왕 역할이 이렇게 잘어울리는 분이 또 있을까요. ㅎㅎ
출처 : 네이버 영화 좌측에서 3번째 배우 조상기.
그리고 남경선인 역의 조상기 배우는 드라마 [야인시대]와 [파스타], [골든타임]에서 보고 오랜만에 나오셔서 짧은 출연 시간이었지만 너무 반가웠습니다.^^ 공백기 동안 소속사 문제로 배우 생활이 아닌 전공이었던 조소로 조경회사에 다니셨다고 하네요. 앞으로도 많은 작품에서 봤으면 하는 바램입니다.~
​
​
​
소리꾼(2020)과의 차이점
출처 : 네이버 영화
소리꾼(2020)에서는 학규 역의 이봉근 배우와 그의 딸인 청이 역의 김하연 배우가 소리꾼으로서의 소리를 보여주면서 영화가 뮤지컬 영화에 가까웠다면 이번 광대 : 소리꾼 (2022)에서는 조금 더 광대들의 이야기에 집중해 영화적인 성향이 더 강하다고 하네요.
출처 : 네이버 영화
그리고 본래 남북합작영화로 기획되어진 영화였으나 남북관계가 얼어붙으면서 북한 촬영이 무기한 연기되었습니다.
북한 촬영이 다시 재개되길 기다렸으나 너무 오래 기다릴 수 없어 국내 촬영본으로만 개봉된 것이 소리꾼(2020)이고,
이 후 남북관계가 다시 좋아지면서 배우들이 북한에서 연기하지 못했지만 촬영팀이 촬영해본 전경들을 이번
광대 : 소리꾼 (2022)에서 볼 수 있다고 합니다.
조정래 감독이 시사회에서 북한 배경이 언제 나왔냐는 질문을 많이 받았다고 합니다. 그만큼 북한 쪽 배경와 우리나라의 배경이 크게 다르지 않다라는 걸 이번 새개봉을 통해서 다시한번 느겼다고 하네요.
​
​
출처 : 네이버 영화
판소리로 전해 내려오던 이야기 중 심청전을 극중극으로 풀어낸 점이 이해하기 쉬웠고
이 점이 조정래 감독이 의도했던 점이 아닐까 싶습니다.
심청전, 춘향전 등의 이야기들 자체가 사람들의 입과 입으로 전해내려오다보니
여러 버젼이 있을 수 밖에 없듯이 소리꾼(2020), 광대 : 소리꾼(2022)에서도 인당수에 빠진 청이가 황후가 되는 스토리가 아닌 딸이 갖고 싶던 황제와 황후의 공주로 나오는 각색을 이번 영화에서 보여주었습니다.
또한 심청전 뿐만아니라 춘향전의 이야기까지 더해져 보는 재미가 더 올라간듯 하네요.
두 이야기를 섞어 보여주겠다는 조정래 감독의 기획력에 감탄할 수 밖에요. ㅎㅎ
영화 초반 연꽃을 보여주고 간난이 어린 소녀에게 연꽃이 수놓아진 머리댕기를 선물해준 이유도
심청전의 이야기를 풀어내려는 암시였다는 걸 알았을때 감독의 의도가 보이기 시작했습니다.
영화 [귀향]을 개봉 당시 봤었는데요. 그때는 감독의 의도가 무엇이고 어떤 메세지를 주려했는지 깊게 생각해 본적이 없었습니다. 이번 광대 : 소리꾼 (2022)를 보고나서 영화 [귀향]도 다시보기 해야겠어요.
영화 내용 자체에 제가 좋아하는 반전이나 스릴, 시각적인 장치는 부족하지만 보고나면 길게 여운이 남는 영화들을 제작하는 조정래 감독의 팬이 되어버린듯 하네요. ㅎㅎ
출처 : 네이버 영화
오늘은 여기까지 포스팅 할게요.^^
다음에도 재밌는 작품으로 만나유~
안뇽~",1,,
네이버리뷰,,,"한국 재개봉 예정 영화 광대: 소리꾼 The singer The original, 2020...","한국 재개봉 예정 영화광대: 소리꾼 The singer The original, 20200의 출연진, 줄거리, 평점 정보 소개
광대: 소리꾼줄거리 정보
모두를 하나로 만든 우리의 소리와 장단
사람들을 울리고 웃긴 광대들의 이야기
영조 10년, 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이.
학규를 중심으로 뭉친 새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정이 시작된다.
가족을 찾기 위한 학규의 울림 있는 외침 “우리는 다시 만나야 한다!”
민족의 흥과 한이 다시 울려 퍼진다!
광대: 소리꾼 깃발출연진 정보
광대: 소리꾼 깃발평점 (기대지수)
한국 재개봉 예정 영화광대: 소리꾼 The singer The original, 20200의 출연진, 줄거리, 평점 정보 소개
​
#재개봉예정영화
#한국영화
#광대소리꾼
#광대소리꾼출연진
#광대소리꾼줄거리
#광대소리꾼평점
#광대소리꾼정보",1,,
네이버리뷰,,,가장 한국적인 뮤지컬 영화 / 광대: 소리꾼 예고편 / 재개봉이 아닌...,"2020년 7월 2일 개봉했던 소리꾼이 광대 소리꾼으로  2월 24일 새개봉 예정입니다.
​
광대: 소리꾼
모두를 하나로 만든 우리의 소리와 장단 사람들을 울리고 웃긴 광대들의 이야기영조 10년,사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이. 학규를 중심으로 뭉친 새로운 광대패들과 함께 흥과 한이 담긴 전국 팔도의 여정이 시작된다. 가족을 찾기 위한 학규의 울림 있는 외침“우리는 다시 만나야 한다!”민족의 흥과 한이 다시 울려 퍼진다!
​
2020년 7월에 개봉했던 영화 소리꾼이 광대: 소리꾼으로재개봉이 아닌 새개봉을 한다고 합니다.
영화의 연출을 맡은 조정래 감독이 보여주고 싶었던 이야기의 의도를 더 깊게 반영할 수 있도록 음악의 수정과 기존 컷들의 교체하고, 편집되었던 영상을 추가하는 등의 과정을 거쳐 60% 이상 새롭게 바뀌었기 때문인데요. 천민의 한 과 흥의 정서를 극적인 서사로 풀어낸가장 한국적인 뮤지컬 영화조정래 감독의 광대 소리꾼입니다.
​
2020년 7월에 개봉한 소리꾼에서는 북미 하노이 협상 결렬 때문에북한의 풍경이 들어가지 않았지만 이번 새개봉한 광대: 소리꾼에서는 북한 현지 촬영을 위한 사전 답사를 위해 3주 동안 묘향산부터 황해도를 돌며 촬영한 북한의 수려한 자연이 고스란히 담겼으며, 그간 볼 수 없었던 북한의 풍광 명미를 만나볼 수 있어, 전국 팔도를 돌아다닌다는 이야기의 설정을 완벽하게 보여줄 수 있다고 합니다.

조선 후기부터 전해내려오던 유명한 판소리는 12개로 열두 마당이라고합니다. 근데 지금은 많은소리가 유실되어 심청가 춘향가 흥부가 토끼와 거북이 이야기를 다룬 수궁가 삼국지의  적벽대전을 다룬 적벽가까지 다섯 마당이전해져 내려오고 있습니다. 그리고 이판소리들의 주제는 희망이라고 합니다.
​
광대: 소리꾼에서는 심청가와 춘향가가 나온다고 합니다. 또한 이 두 판소리를 적절히 조합하며 판소리가 만들어지는 과정을 전개하며 판소리는 개인의 소리가 아니라 시대의 소리로 시대적인 면모를 보여준다는 것을 알게 해준다고 합니다.

주인공  전국 팔도를 돌아다니며 소리를 전하는 소리꾼, 이야기꾼학규 역의  실제 소리꾼 이봉근은 비연기자로서 주연을 맡았는데요. 비연기자 주연인 역사상 처음이라고 합니다. 학규의 메인 파트너로 북을 치며 장단을 맞추는 고수, 흥이 최고라는 익살꾼대봉 역의 박철민, 순수하고 도전적인청이 역에 김하연, 강단 있고 위협에 타협하지 않고 활력이 넘치는 활력꾼 간난이 역의 이유리, 양반이지만 권위도 없고 모자란 천민보다 못한 취급을 받은 구경꾼몰락한 양반 역에 김동완,  겉으로는 충신인척하며 악행을 일삼는 탐관오리 위선꾼김준 역에 김민준까지 6명의 꾼들이 모여서 소리꾼을 연기한다고 합니다.

메인 에고 편과 론칭 예고편 두 편을 첨부합니다. 2020년 7월에 개봉한 소리꾼과 많은 부분이 달라졌을 거라고 하니 전에 보셨던 분들과 전에 개봉했을 때 못 보신 분들도선한 영향력이 널리 알릴 수 있는, 눈과 귀가 즐거운 광대: 소리꾼새개봉 하면  관람해 보는 건 어떨까요?
​
포스팅을 읽어주셔서 감사합니다. 좋은 하루 영화를 한편 볼 수 있는 작은 여유를 가질 수 있으시길 빕니다. 다시 한번 감사드립니다.",1,,
네이버리뷰,,,"영화 '광대: 소리꾼', 김하연 배우 노래와 열연 화제!","2월24일 개봉, 노래, 연기 안 되는 게 없는 배우
planetlife.co.kr
2월 24일 새개봉을 앞둔 영화 '광대: 소리꾼'에
출연한 어린이 배우 김하연이 심금을 울리는
노래와 열연으로 주목받고 있다고 합니다.
​
처음 '소리꾼'으로 개봉했을 당시에도 어른 배우들
못지 않은 놀라운 연기력으로 호평을 받았던 데 이어,
새로운 장면들과 이야기를 재정비해 새개봉하는
영화를 통해 다시 한번 관객들을 사로잡을 예정이라고 합니다.
​
영화 '광대: 소리꾼'은 사람들을 울리고 웃긴 광대들의
이야기를 모두를 하나로 만든 우리의 소리와 장단에
맞춰 담아낸 작품이라고 합니다.
​
소리꾼 학규와 그의 딸 청이는 사라진 아내 간난을
찾기 위해 전국 팔도를 돌아다니며 동료들과
광대패를 만들어 가슴에 담은 흥과 한을 담은 소리로
서로와 민중들을 위로하며 희망을 찾아간다고 합니다.
인물들의 이름처럼 영화의 이야기 전개에 중요한
요소로 심청전과 춘향전이 접목된 판소리가 등장합니다.
​
특히 가족의 사랑과 공동체의 힘을 보여주는 민초들의
강인함은 코로나19로 모두가 어렵고 힘든 시기를
지나는 관객들에게 특별한 공감과 위로, 감동을 선사할
전망이라고 합니다.
​
자세한 내용은 위 링크<플래닛라이프>통해 확인해보시길 바랍니다.",1,,
네이버리뷰,,,영화광대소리꾼메가박스센트럴,"영화 광대소리꾼 릴레이상영
메가박스센트럴에서~~~
역시 사나이끼리는 의리가 최고여
조정래감독, 가수 혜진이,장군, 배우 임성철과
영화 역주행을 간절히 기원하며♡♡♡
#영화귀향 #영화광대소리꾼 #메가박스
#센트럴시티 #가수혜진이 #맛보고가세요
#청춘침향환 #영화초혼 #조정래감독",1,,
네이버리뷰,,,광대 : 소리꾼 영화 The singer The original 2020,"민초들의 흥과 한이 울려 퍼진다. 2020년 한국적인 뮤지컬 영화이다. 우리 소리로 꾸며진 영화 광대는 대한민국 정통 음악을 향한 조정래 감독의 28년간의 열망을 담았다고 한다. 감독은 정통 판소리 고법 이수자 ""고수(북 치는 사람)으로 활동한 바 있으며, 우리 소리에 대한 열정을 품고 있다고 한다.
​
우리의 소리는 민심을 울리는 소리이다. 주인공 소리꾼 학규의 아내를 찾아떠나면서 그의 소리가 민심을 울리고 세상을 바꾼다. 모두를 하나로 만든 우리의 소리와 장단, 사람들을 울리고 웃긴 광대들의 이야기이다.
줄거리는 영조 10년 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이. 학규를 중심으로 뭉친 새로운 괄대패들과 함께 흥과 한이 담긴 전국 팔도 여정이 시작된다. 가족을 찾기 위한 학규의 울리 잇는 외침""우리는 다시 만나야 한다!""
전문 국악인 이봉근은 KBS 불후의 명곡에서 판소리의 명창의 면모를 보여 주목을 받았으며. 아내 역할의 이유리와 빈털터리 행색과 속을 알 수 없는 몰락 양반 역을 맡은 김동완, 학규의 유일한 조력자 이자 장단잽이 고수 대봉 역의 박철민. 연기파 배우들이 참여해 영화를 더욱 풍성하게 해준다.
국악의 세계화를 이끌어낸 월드 뮤직 그룹 ""공명""의 박승원이 음악감독으로 참여하여 영화음악인 영화의 품격을 높여주었다. 젊은 사람들에게는 이 판소리가 낯설지도 모르지만, 우리 소리만의 감정을 느낄 수 있다고 한다. 한국형 뮤지컬 영화로 판소리의 매력에 빠질 것 같다.
아름다운 풍광을 배경으로 조선팔도를 유랑하는 소리꾼의 이야기를 담아, 대한민국의 절경을 볼 수가 있다. 서민들의 애환이 느껴지는 해지는 저녁노을부터 학규가 노래하며 지어내는 심청가 이야기는 영화 속 액자 구조를 지녀 드라마가 전개되는 독특한 형식을 지닌다.
우린 소리에 대해서는 생소하지만, 민중의 흥과 한이 어떻게 소리와 융화되어 새로운 느낌을 준다. 한편의 영화로 우리나라의 전통 소리를 감상할 수 있을 뿐만 아니라, 한국만의 절경도 감상할 수 있어 큰 감동을 줄 것이다. 우리나라의 전통음악에 사랑과 관심이 생길 수밖에 없는 영화이다.

​
​",1,,
네이버리뷰,,,"시대극 뮤지컬영화 추천 << 광대: 소리꾼 상영중 The Singer, 2020 >>","​
영화 광대: 소리꾼 평점 줄거리 및 출연진 정보
​
​
​
개봉
2020.07.01
재개봉
2022.02.24
장르
시대극
국가
한국
등급
12세이상관람가
러닝타임
119분 , 131분(재개봉)
​
​
​
​
★줄거리★
​
모두를 하나로 만든 우리의 소리와 장단
사람들을 울리고 웃긴 광대들의 이야기
​
영조 10년, 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이.
새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정을 시작한다.
“우리는 다시 만나야 한다!” 그들의 울림 있는 외침은 모두의 희망이 되어 하나로 모이게 하는데…
민초들의 흥과 한이 세상에 다시 울려 퍼진다!
★출연★
​
출처 :https://youtu.be/9TmleoGWjSo
​
#영화추천#국내영화#해외영화#서이추환영",1,,
네이버리뷰,,,款式) 광대: 소리꾼 - 조정래,"CGV제주노형점
어제(2022년 2월 25일) 영화를 보러 갔다.
코로나라 해도 영화관 전세를 낸 적은 없었는데, 이번에는전세 내서 혼자 영화를 보았다.(그래도 마스크 잘 끼고 봤다)
광대: 소리꾼
영조 10년, 도적떼가 판을 치는 어지러운 시대 소리꾼 학규(이봉근)의 사랑하는 아내 간난(이유리)이 갑자기 사라진다. 학규와 딸 청이, 광대패의 홀아비 대봉(박철민)은 전국 팔도를 떠돌며 소리를 하며 간난을 찾아 나선다.
한국판판소리 영화라 보면 된다. 우리가 모두 아는 '심청이'이야기가 나오는데, 뻔히 아는 내용이어도 원래 판소리를 비롯한 여러 공연예술을 좋아하는 편이라 소리 듣는 재미가 있다.
다만 스토리 후반의 반전은 이미 너무 예상이 되어 새롭지 않았다.
평안북도 향산군 향산읍 묘향산 만폭동·비로봉
몰랐는데남북합작 영화였다. 조정래 감독이 북한측과 협의하여 여러 차례 북한을 방문하여, 영화가 끝난 후엔 북한의 아름다운 자연이 나온다.
사실 조정래 감독이라 하니 내가 아는 소설가 조정래 님이 감독으로 데뷔한 줄 알았는데 동명이인이었다.^^; 2017년<귀향, 끝나지 않은 이야기>의 감독님이셨다.
이 영화를 보고 있노라니<광대들: 풍문조작단 - 김주호>이 떠올랐다.
<광대: 소리꾼>은 '소리꾼'이라는예술에 포커스를 둔 영화라면, <광대들: 풍문조작단>은 같은 소재이지만재미에 포커스를 둔 영화다.
​
※조선 21대 왕 영조(1724~1776)
19대 숙종과 숙빈 최씨의 아들. 붕당 대립을 완화하고 왕권을 강화하기 위해 탕평책을 실시함. 균역법을 시행하여 백성의 군역 부담을 줄임.",1,,
네이버리뷰,,,"조정래 감독, 영화 <광대:'소리꾼'감독판> 재개봉을 기다리며","# 소리꾼
​
조정래 감독의 독립영화 광대: <소리꾼> 감독판이 9월 한국 영화관을 찾는다.
2020년 7월 개봉 당시에는 보지 못했다.
2021년 9월 재개봉만 기다렸다.
개봉관은 어디? 흠.. 종일 검색해도 안 뜬다.
주말엔 소식이 있겠지?
​
​
​
통일부 블로그에서 이 영화를 특별 조명했다.
왜일까? 이 영화가 남북합작영화라고? 금시초문이다.
알고보니, 감독판에는 북한의 수려한 자연경치가 담겨있단다.
<소리꾼> 판에는 못 본 것 같은데, 엄청 기대된다.
​
영화 재개봉관이 빨리 잡히기를 고대하며, 통일부 블로그를 링크!
​",1,,
네이버리뷰,,,이유리 이봉근 주연 광대:소리꾼 감독판 GV 후기,"지인한테 연락이와서 광대:소리꾼 영화의 재개봉 GV에 친구랑 다녀왔어요~~
지인 가족이 영화를 후원해 주셨다고 하더라구요~!
시사회는 처음이라 제가 좋아하는 이유리 배우를 본다는 생각에 참석했는데다른 촬영일정이 있어서 못오셨다구 하네요
연기자분들이 워낙 연기를 잘해서 같이간 친구는 보다가 눈물도 흘렸답니다
​
​
연예인들이 많이 오시고 계셨어요
​
​
배우분들이 연기를 너무 잘해요
끝나고 감독님과 뒤풀이도 있었는데 영화를 보고 조정래 감독님 팬이 되었어요 ㅎㅎ
영화관람 내내 북한의 멋진 풍경도 많이 나오고 관람하는동안 사진은 다 찍을수 없었지만 엔딩크레딧 찍은 사진을 조금 올렸습니다
광대 소리꾼이 재개봉 되어 다시 상영하니까 모든분들이 많이 봐 주셨으면 좋겠습니다
​
​
왼쪽분이 지인분 이세요
​
​
감독님과 스님으로 나온 배우님~~
​
​
감독님과 다른 배우님들이 사진을 찍고 계시네요
광대:소리꾼 꼭 보세요~~
감동이 있는 영화입니다
​
​
​",1,,
