출처,형태,세부정보,작성자,날짜,내용,공감,비공감,답글수,원댓글ID
시리즈,연재본,,,2019-07-19 15:47,당장 죽게 생겼는데 체통이고 나발이고가 어딨어? 넌 잘난 남자라서 살해당할 참에도 체통 지키기 선수인가 보다? 하여간 힘을 갖고 짓누르는 놈들은 당하는 사람입장에선 얼마나 무섭고 억울할지 생각도 안한다니까. 같은 인간으로 보지도 않으니 당연하겠지. 남편이 죽었다고 뒤따라 죽는게 왜 본분이야? 집안끼리의 거래에 희생됬을 뿐인 여자들이 사랑하지도 않는 남편 죽었다고 상심하고 따라죽어야 한다는 개같은 논리는 어떤 빡대가리에서 나온거냐? 사람답게 살고싶은건 누구나 마찬가진데 같은 인간들끼리 신분으로 귀천 따지고 성별로 급을 나누고 별 같잖은 이유로 짓밟고 죽이고,508,0,,
시리즈,연재본,,,2019-07-09 22:11,덕망높은 스님은 무슨.. 덕망이 높아서 고아나 다름없는 거지아이한테 공양이랍시고 삥을 뜯냐 도와주지는 못할망정,508,3,,
시리즈,연재본,,,2019-09-12 17:26,용왕이 여성체라면 애초에 새 금자라를 갖게 해줄 목적인 신부도 처음부터 필요없었던거구나..용왕은 자손을 직접 가질수있는 여성체니까..개인적으로 용왕도 여성체이지 않을까 막연하게 생각은 했는데 생각하고 봐도 소름이네요ㅠㅠ,507,2,,
시리즈,연재본,,,2019-07-19 15:28,저렇게 해서 생긴 열녀비가 얼마나 많을까... 앞뒤양옆에서 압박 줘서 자살하게 하거나 직접 죽이고 열녀로 만든...,507,0,,
시리즈,연재본,,,2019-08-06 12:29,애 데리고 다니면 시끄럽다 지랄이고 집에 두고 다니니 내팽개친다고 지랄. 이래도 지랄 저래도 지랄이니 대체 뭘 어쩌란거냐 니들이 혼자 애 키워보시던가 입만 산 것들아,505,0,,
시리즈,연재본,,,2019-07-27 21:24,"명대사가 줄줄이 나오네요. 여자를 꽃에 비유해서 풀어낸게, 마치 남성우월사회에서 여성의 현실을 얘기해주는거같습니다. 현대도 저거랑 별반 다를 바 없죠. 저 무겁고 불편한 치장을 여자만 하는것만 봐도 말이죠. 자기만족이라고요? 글쎄요. 남자가 자기만족으로 저런 코르셋을 차지않는 것만 봐도 여성의 꾸밈과 남성의 꾸밈은 질적으로 다른데요. 여성의 꾸밈은 필요이상의 무언가가 계속 붙고, 인간이 느끼기에 편함, 실용성, 멋짐보다 누군가에게 보여지기위한 인형같은 꾸밈이라면 남성의 꾸밈은 진짜 실용성, 기능성, 권위를 나타내기만 할 뿐이니까요.",501,21,,
시리즈,연재본,,,2019-07-29 8:51,땡중놈 저럴줄알았다 주변에는 멀쩡한척 하면서 자신에게 의존할수밖에없는 처지의 사람 가스라이팅하고 거절하기 힘든 요구 하는 그루밍성범죄 전형.... 지가 몬데 청이한테 벌준답시고 삼천배 시키는것도 청이 지맘대로 지배하려는것같고 변태같았는데 진짜 바가지깨버리고싶다,497,0,,
시리즈,연재본,,,2019-08-30 13:33,아빠놈이 젤 노답이었구나...내가 못하면 딸이라도 시킨다고? 그러면서 자존심이 어쩌고 어째? 삼백석 질질 짜는 시간에 일이라도 찾아나가든지;;,495,0,,
시리즈,연재본,,,2019-07-26 8:03,와ㅜ... 마님이 정말 살아남기 위해서 처리해야 하는 사람들은 저 집안의 남자들이였겠군요.....,488,3,,
시리즈,연재본,,,2019-11-10 3:44,이걸보고 하이퍼리얼리즘을 느끼는 사람들이 이렇게 많이 있는데. 누가 감히 누가 정한 기준으로 너희들은 아니라며 그저 피해망상일 뿐이라고 단언하는데? 니들은 한 번도 여자였던 적이 없잖아.,483,10,,
시리즈,연재본,,,2019-08-08 17:35,뺑덕어미 너무 좋으신분... 원리 점봐서 돈버시는건데 청이 점은 매일 챙겨봐주시네요ㅜ 진짜 아끼나보다,483,0,,
시리즈,연재본,,,2020-03-19 12:59,"예전에 한 문학잡지에서 심청전을 읽어주는 기사가 있었는데 그 글에서 심학규의 눈이 먼 것은 사리 분별을 못하는 자를 비유적으로 나타낸 것일 지도 모른다고 했던 게 기억 난다육체적으로만 눈이 먼 것이 아니라 정말로 눈 앞에서 일어나는 타인의 불행, 자신의 미래, 처지를 볼 수 없다는 해석그런데 이 만화를 보고 있으니 진짜로 그 해석이 맞는 것 같다불행한 앞날 앞에 눈이 멀고 죄책감도 못 보고 사리사욕에만 눈이 멀어 딸을 궁지로 내몰고서야 가지 말아달라고 우는 심학규는 정말 '봉사'로서의 역할을 착실하게 수행 중인 인물이지•••",482,0,,
시리즈,연재본,,,2019-12-11 13:18,뭐야 왜쓰러져?? 넘 좋다,482,2,,
시리즈,연재본,,,2019-07-11 15:09,내가 용왕이었으면 이 상황에 더 빡쳐서 저럴 거 같은데 내 자식 잡아간 놈이랑 고아먹은 놈은 두 다리 뻗고 있고 왠 어린애 하나 내 신부하라며(달라고도 안 함) 밧줄로 묶어다가 바다에 빠뜨리려드는데,479,0,,
시리즈,연재본,,,2019-07-21 16:13,"쌀을 반만 댄 주제에 제 값 하라고 말하며 사람을 사지로 몰고, 사람이 저 상황에 처해있는데도 장승상 댁 사람이란 것만 생각하는 저런 미친놈들,,,,,",476,0,,
시리즈,연재본,,,2019-07-14 4:10,어렸을때 읽었던 책에 열녀는 손가락을 잘라 약을 끓여 부모를 간병했다는 이야기를 읽고 그렇구나 하고 넘어갔었는데 그게 옛날 여자들을 얼마나 옥죄었을지 상상도 안간다...힘든 간병은 여자 시키면서 잘못되면 책임을 다 몰아넣고 손가락까지 자르게만드는..무서운 문화,470,1,,
시리즈,연재본,,,2019-08-07 22:14,뭐가 달라 성범죄사건일어나면 피해자인걸 증명해야 처벌 쬐끔해주고 그마저도 수시로 꽃뱀으로 몰고가려고 하고 예쁜 여자 청순가련한 여자 순해보이는 여자 어려보이는 여자 명품안좋아하는 여자만들려고 미디어며 현실에서 수시로 검증하고 좀만 여자가 자기주장강하면 드세다 독하다 히스테리부린다 하는데 지금이랑 뭐가 다른데,465,4,,
시리즈,연재본,,,2019-07-28 0:01,ㅋㅋㅋ묘 찾아서 비석 닦으라고 하면 죽인대ㅋㅋㅋㅋㅋ 진짜 그런 말들 너무 쉽게 하는 남자들 많죠ㅋㅋㅋ 본인들은 안 움직이고 이것저것 아랫사람이라고 생각하는 사람들에게 시키기ㅋㅋㅋ,465,5,,
시리즈,연재본,,,2019-08-20 15:20,뺑덕부인 말도 틀리진 않았지. 그렇게 조신히 아양이나 떨면서 자존심 버리고 생계유지하는거 개돼지같긴 하니까. 마님도 청이도 이제 달라질거같긴 한데,464,2,,
시리즈,연재본,,,2019-10-09 15:12,"마지막 대사가 마음을 울리네요. 우리들의 이야기, 가려지고, 지워지고, 왜곡된 여성들의 이야기는 어디에도 남지 않았지만 우리는 분명 그 역사 속에, 그리고 지금 이곳에 살아 숨쉬고 있다는 걸. 몇 년이 지나도 잊지 못할 작품 같습니다. 이런 작품을 만들어주셔서 너무 감사할 따름입니다. 울컥하고 화나고 너무 현실과 닮아있어서 보기 괴로운 순간마저 있었지만 그렇기 때문에 오히려 놓지 못하고 끝까지 집중력 있게 봤네요. 여성들의 이야기를 남겨주셔서, 이렇게 빼어난 작품으로 표현해주셔서 너무 감사합니다. 완결이 나고 조금 시간이 지난 후에야 보지만 그동안 너무 수고하셨습니다. 감사합니다.",460,0,,
시리즈,연재본,,,2019-07-22 14:48,진짜 용왕은 화가 났을 수도..자식도 자식인데 원인인 놈은 냅두고 죄없는 애들 산제물로 빠트리려니까..,458,0,,
시리즈,연재본,,,2019-07-10 15:53,스님이.. 일반인 코스프레하는 한남같음,457,22,,
시리즈,연재본,,,2019-07-08 14:01,"열녀문이 한창 유행하던 때에는 열녀문을 얻기 위해 며느리를 부러 죽이는 집도 있었다고 하네요...저런 기록 한 줄, 열녀문 하나를 위해 죽어갔을 수많은 여자들이 안타깝습니다.",457,0,,
시리즈,연재본,,,2019-11-10 1:10,"이야. 남자는 여러 사람 보는데서 대놓고 여자 패도 훈육이고, 노환으로 다 죽어가는 노인네가 어린 여자애 부인이랍시고 들이는 노망난 짓을 해도 그저 축하받을 일인데. 여자들은 고작 집에서 내쳐지기 싫어서 뒤에서 눈치보면서 싸운 일로 존나 무섭고 잔인한 존재가 되네. 곤충 밟아죽인 사람이 곤충은 참으로 징그럽고 무섭다라고 말하는 거랑 다를 바 없다. 곤충 입장도 들어봐야 하는 거 아닌가?",456,2,,
시리즈,연재본,,,2020-02-07 23:57,실제 전통문화와 역사와 전래소설에 있던 부조리를 보여주는 것만으로 불편해하시는 분들이 많네요. 부조리가 있는건 상관없고 그걸 말하는건 기분나쁜가요 ㅎㅎ,454,4,,
시리즈,연재본,,,2019-09-02 13:17,네놈이 거북이만 안 잡아왔어도 이런 일은 없었어,452,2,,
시리즈,연재본,,,2019-11-10 2:07,언제 페미니즘이 사람 죽였냐? 가부장은 사람 여럿 죽이던데.,451,9,,
시리즈,연재본,,,2019-11-26 19:49,스놈 말하는 꼬라지 보소 거랭뱅이?ㅋㅋㅋㅋㅋ 니 인성이 거렁뱅이다,450,0,,
시리즈,연재본,,,2019-07-10 15:30,스님 딱봐도 현생에서 완전 도태된 등신이라 지 스스로 스님된척 ㅇㅈㄹㅋㅋㅋㅋ,449,1,,
시리즈,연재본,,,2019-07-17 1:20,"남성들은, 여성은 억압하고 남성을 치켜세우며 '남성의 권력 세계'를 견고히 해왔다. 오늘날도 그렇다.",448,10,,
시리즈,연재본,,,2019-09-03 20:45,그날 밤 그대로 저택에 있었으면 죽임당했을거에요,447,0,,
시리즈,연재본,,,2020-06-22 15:45,며느님 재혼 미리 축하드립니당!!,446,1,,
시리즈,연재본,,,2019-07-12 12:12,그녀의 심청을 보면서 마님 너무 불쌍하다 여자라서 차별받고 사람이 아닌 인형으로 무력하게 길들이는것 같아 남자한테 예쁨받고 시집가는게 여자의 행복이라고 정해두고 그 틀에 맞춰서 가꾸고 꾸미는 모습을 보면 눈물이 난다 왜 행복을 본인이 아닌 타인이 시키는대로 따르고 오직 그것이 여자의 행복이라고 생각하고 바라보는게 너무 안타깝다,445,2,,
시리즈,연재본,,,2019-09-01 13:41,심봉사 너무 해맑아서 짜증나.. 딸자식 마음 곪게 하며 혼자 편안하시군요,444,0,,
시리즈,연재본,,,2019-07-14 16:25,어린 여자의 기운음 개뿔 숨쉬는 것 도 힘들어하는데 빨리 저세상이나 보내드려라 아오,444,0,,
시리즈,연재본,,,2019-07-27 23:39,한남 그자체다....여자가 맞을때는 가만히 있다가 남자가 맞으니까 나서서 지랄하는 인간들.,442,7,,
시리즈,연재본,,,2019-07-13 15:17,세상에서 제일 어려운 일 두 가지.세상이 인정하는 '나쁜 아빠 되기'와 '좋은 엄마 되기',438,2,,
시리즈,연재본,,,2019-07-14 13:25,"연출 진짜 쩐다.. 그저 개와 같은 위치, 오빠랑 대조점도 보이고",434,0,,
시리즈,연재본,,,2019-07-25 3:55,얘들아 이거 찐백합이야 다른 데 가면 GL로 떠,432,2,,
시리즈,연재본,,,2019-07-10 19:24,ㅑ좋아죽는괘 ㅑ아닌가요,430,0,,
시리즈,연재본,,,2019-08-13 15:47,모든 제물을 바치는 제사에 여성이 제물인것이 당연한듯한 이야기들이 많은 것을 보면 정말 화가나요!!,428,0,,
시리즈,연재본,,,2019-08-20 15:15,사랑받기 위해 저런 코르셋을 차야되는거 너무 싫다. 다시 당당하고 활기찬 청이로 돌아오길. 마님도 저런 가치관 버리시고.,427,11,,
시리즈,연재본,,,2019-08-02 5:51,초등학생때 필독도서로 지정돼서 접했을땐 이상한줄 모르고 읽었었는데...지금보니 저렇게 빻기도 쉽지않은데 저딴게 필독도서였다니,427,5,,
시리즈,연재본,,,2019-07-11 8:41,남을 죽이려할땐 별것 아닌듯 보더만 다리좀 베인게 그리 아프더냐?,427,0,,
시리즈,연재본,,,2019-07-10 21:52,"좋다고 소문은 들었는데. 놀랄정도로 좋네요. 승상에게 시집가는게 심청이 공양미에 팔리는거랑 겹치게 툭툭 연결하고. 팔찌주는것도 참. 어찌보면 전형적인 장치인데, 그림도 너무 이쁘고 좋고. 이거 맘에 드시는 분은 las라는 극단의 줄리엣과줄리엣이란 연극보세요. 취향에 딱이실듯. 내년에 또 무대 올라올 테니까.",426,3,,
시리즈,연재본,,,2019-07-28 1:30,나왔네. 여성상위 시대! 여성으로 태어났으면 좋겠네! 예쁘기만 하면 되는 걸. 편하게 살아서 좋겠네. 와 진짜 화딱지,424,4,,
시리즈,연재본,,,2019-08-17 14:13,저 기생이 무슨 심정으로 저 시를 읇었는지. 그 안에 담긴 뜻이 뭔지나 알아듣고 주둥이를 다시 놀려보지 그러냐 머릿속은 천박하다는 꽃보다 더 천박한 주제에. 너같은 존재가치도 없는 놈들보다 세상을 아름답게 꾸며주는 꽃들이 훨씬 고귀하다 새꺄 지가 뭐라고 꽃을 비하해?,423,0,,
시리즈,연재본,,,2019-07-21 14:14,"저 덩치 큰 놈이 이러면 벌받을까 겁난다, 우리가 이리 해주는걸 고맙게 여길거다, 힘들지 않냐고 물어보는 것 전부 가증스럽네요.. 그럼 구해준던가 해야지 그럴 생각은 전혀 없으면서 심청이는 당연히 빠져죽어야하고 자기한텐 고분고분 해야한다는 태도 아주 역겨워..",423,0,,
시리즈,연재본,,,2019-07-14 16:09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ권모술수가 난무하는ㅋㅋㅋㅋ 어설픈자는 살아남지못한다,420,1,,
시리즈,연재본,,,2019-07-13 15:00,어떻게 된 게 애비가 땡중보다 더한 새끼 같냐..그 새낀 죽어서 그런가..,417,2,,
시리즈,연재본,,,2019-07-11 8:35,"목숨 달린 일에 '보기 흉하게'라니,,,, 죽을 위험에도 예쁘고 고상하게 행동해야함? 사람을 어떻게 보는줄 알겠다 양아들놈아",417,0,,
시리즈,연재본,,,2019-07-22 18:48,진작에 배때지 갈라서 바다에 돌려줬으면됐을걸,416,0,,
시리즈,연재본,,,2019-11-10 1:53,"그러네. 살기 위해 했다고 하지만, 사실 승상부인이 하는 짓은 남들과 비교되는 때깔 좋은 코르셋을 과시하면서 그렇게 행동하지 않는 다른 여자들 목조르는 거나 다름 없으니까. 솔직히 뺑덕어멈에 공감함. 청이가 그동안 고달팠던 건 세상이 부모의 보호라는 공평한 기회를 안줘서지 여성스럽지 않아서가 아니니까. 보호자가 되었어야 할 애비는 딸자식 피빨아먹는 기생충이나 다른 없었으니. 청이가 적선해준 그 거지 소년이 몇년만 지나면 청이보다 더 나은 형편이 될 거임. 성인남성은 어떻게든 스스로 벌어먹을 형편이 되니까.",415,8,,
시리즈,연재본,,,2020-11-15 0:39,남자가 보기에 불편한 장면이 많다=현실고증쩔고 개 오지는 작품이다,414,11,,
시리즈,연재본,,,2019-08-16 12:01,지 분할때만 힘자랑 하고 앞못보는걸 핑계로 일고여덟살짜리 어린애를 지금껏 부려먹었냐? 상찌질의 극치...,414,0,,
시리즈,연재본,,,2019-09-12 17:59,"슬프지만 아버지는 알아야지, 자기가 누구의 목숨값을 먹고 있는지",413,0,,
시리즈,연재본,,,2019-07-21 0:31,밥은 뭐 땅파면 그냥 나오나 청이 없었음 이미 뒤졌을 새끼가 눈이 아니라 혀가 잘렸어야 했는데,412,3,,
시리즈,연재본,,,2020-05-11 14:13,스 : 가스라이팅 한남청이 개비 : ㅈ도 능력없으면서 집안여자 등골 빼먹는 한남깡패 2마리 : 폭력한남마을 남자들 : 한남무리마님 호적메이트 : 지 동생 팔아먹는 한남승상 : 안서는 한남,411,8,,
시리즈,연재본,,,2019-07-07 17:57,아비란 놈이 지 욕심으로 딸이 물에 빠져 죽는다는데 지 살길만 걱정하며 눈물흘리는구나.그리고 키우갠 누가 키웠나.동냥으로 아비먹여살린건 딸인데. 죽어버리지그랬나.살아서 무슨 의미가 있어.너같은게.,411,0,,
시리즈,연재본,,,2019-11-24 4:53,"소설에 너무 몰입해서 엮지 말라니ㅋㅋㅋㅋㅋ여성들이 이 만화에 몰입하는 이유는 현실과 닮은점이 많기 때문입니다. 님은 남자니까 모르겠지 왜냐면 이 만화에서 조차 님은 그냥 구경하면서 지나가는 남자 1이니까 그냥 무슨일 났나? 하면서 지나갈수 있는 그런 사람이잖아요ㅋㅋ현실에서도 그래 여성혐오적 살인사건이나 성폭행, 불법촬영 등등에 님이 공포감 느끼고 조심히 살아야겠다 느낀적 있나요? 애초에 남자인 당신은 와 저도 공감합니다 그런데~ 하면서 말을 얹으면 안되는거 아닌가요ㅋㅋ 흑인 인종차별 당하는거에 오 저도 공감합니다 근데 요즘은~ 이러면서 맨스플레인하는건 멍청한 짓임을 알면서 왜 여성들한텐 유독 남자들이 저러는지ㅋㅋㅋ",408,9,,
시리즈,연재본,,,2019-10-09 14:49,"아무리 사회가 요구하는 여성성에 맞춰 살아도 그건 영원히 채워질 수 없는 것이고, 결국 그렇게 사회가 요구하는 꽃이 되면 즈려밟히게 된다. 높은 지위에 있는 여성이라도 해도 결국 맨 아래에 있는 남성보다 힘이 없고, 신분고하와 처지에 관련없이 다른 여성들의 이야기는 나의 이야기이기도 하다는 메시지를 작가님들이 너무 잘 녹여주셔서 진짜... 서로를 힘으로 여기고 서로와 연대해나가면서 성장해나가고 결국 예전처럼 핍박받는 그 자리로 돌아가기를 거부하는 선택까지 정말 너무 완벽한 여성서사... 작가님들 정말 너무 감사합니다",408,5,,
시리즈,연재본,,,2019-08-13 13:17,그 따뜻한 대접은 다 청이가 하고 있는데요?앉아서 주둥아리만 나불거리는거 너희눈에는 안보이니?,406,0,,
시리즈,연재본,,,2019-07-25 18:06,예전에 어떤 중국영화 본적있는데 그게떠오르네요 어떤 16살짜리 여자가 늙은노인한테 3번째 첩으러 팔려가서 부인들끼리 모함하며 서로 죽이려고하는‥ 그게 그집안에서 살아남는방법이라는‥결국 진짜승자는 다늙어빠진 할배였죠 엄청 끔찍한 영화였는데 그결말이 생각이나네요,406,1,,
시리즈,연재본,,,2019-08-24 14:28,"밑의 댓글 진짜 눈치 없는게 세상 편하게 보고싶은것만 보고 살았나보네. 댁 눈에 안보인다고, 댁 일 아니라고, 없는 일 아니니 눈치없이 생각나는대로 말 얹지마세요. 이 만화가 인기있는 이유는 보는 독자들로부터 공감을 사기 때문입니다.",399,6,,
