출처,형태,세부정보,날짜,내용,공감,비공감
네이버웹소설,연재본,1,2018-10-13 12:49,오!! 서양 장금이!!ㅋㅋㅋㅋ 서양동양판 혼합 신박하구 작가님 사랑합니다.(뜬금,0,0
네이버웹소설,연재본,1,2018-09-28 12:50,오늘 처음 봤는데 완전 재밌네욬ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2018-07-13 11:31,공양미는 심봉사가 먹을 쌀이 아니고 심봉사 명의로 부처님께 바치는(공양) 쌀(미) 입니다. 삼백석 아니라 삼천석이라도 심봉사 식생활과는 무관하오니 참고하여주시기 바랍니다. 참고로 심청전 판본에 따라 중국 상인들이 심봉사가 불쌍해서 가외로 쌀과 재물을 조금 얹어주긴 합니다.(나중에 뺑덕어멈이 이걸 대차게 말아먹습니다.),0,0
네이버웹소설,연재본,1,2018-06-27 0:58,뭔가 퓨전요리 보는 듯한 국가의 결합인가요 ㅋㅋㅋㅋ 드래곤과 심청이라니!!! 아이디어 대박!,0,0
네이버웹소설,연재본,1,2018-06-25 22:53,추천합니다저는소설보는것좋아합니다건백조치면나옵니다좋은하루보내세요 ^^미소설 신입작가 한나올림별점평가부탁합니다,0,5
네이버웹소설,연재본,1,2018-05-09 1:07,드레곤 나올때마다 항상 궁금했던건 모든 마법을 한다면서 거짓말 탐지마법을 못한다는게 이해가 안가는 1인. 현대 거짓말탐지기도 100%는 안돼도 90% 이상이건만.,0,0
네이버웹소설,연재본,1,2018-04-30 12:17,3인칭 시점인가요? 좋아합니다 재밌을것같아요,0,0
네이버웹소설,연재본,1,2018-02-22 12:07,????????? 너무 생각보다 제밋어보여서 놀랐어요 ㅋㅋㅋㅋㅋㅋㅋㅋ 정주행합니다!,0,0
네이버웹소설,연재본,1,2018-02-20 2:21,그리고 전설이 시작되었다..,0,0
네이버웹소설,연재본,1,2018-01-29 8:35,정주행 달려요!,0,0
네이버웹소설,연재본,1,2018-01-29 3:00,머져..?보자마자 입에 침부터 고이는 특이한 소설은???,0,1
네이버웹소설,연재본,1,2018-01-29 2:57,ㅎㅎㅎㅎ 재밌네요.앞으로도 좋은 작품 기대합니다!저는 아직도 배가 고프네여 ㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2018-01-15 21:15,어... 일러스트에 용은 너무 작게 그려진듯... 머리가 기와집 보다 크댔는데,0,0
네이버웹소설,연재본,1,2017-12-28 10:39,정주행 스타트!,0,0
네이버웹소설,연재본,1,2017-12-21 9:48,2017/12/21 정주행 시작,0,0
네이버웹소설,연재본,1,2017-11-17 4:03,정주행시~~작,0,0
네이버웹소설,연재본,1,2017-11-10 10:53,좋아..... 드래곤까지 한류에..... 후후후후후후후후(사악),0,0
네이버웹소설,연재본,1,2017-11-02 14:02,머지이 고소한 냄새는?대작 냄새구먼,0,0
네이버웹소설,연재본,1,2017-10-24 15:33,사실 공양미300석+아버지눈뜨기 는 아니에요. 300석을 부처님께 바치고 기도하면 눈뜬단거지... 봉양할사람도없이 큰재산도없이 아버지눈뜨시면 어떡하니 청아ㅜ,0,0
네이버웹소설,연재본,1,2017-09-16 12:59,ㅋㄷㅋㄷ 야식~^^ 아 내배.ㅡ.ㅡ 어쩔? 입이 맛있어서...그래도 좋으다~^^,0,0
네이버웹소설,연재본,1,2017-09-15 7:22,재미있게 잘 읽었어요~^^♡,0,0
네이버웹소설,연재본,1,2017-09-12 2:26,잘 읽었습니다,0,0
네이버웹소설,연재본,1,2017-08-31 8:38,말은 어떻게 통하는거지?ㅋㅋㅋ세계관이 다른데 인거 아닌건가 ?ㅋㅋ,0,0
네이버웹소설,연재본,1,2017-08-21 13:04,그리고 이 작품은 제 인생 첫 웹소설이 되었습니다꿀잼예약... 처음으로 웹소설에 입덕할 것 같다... 세상에 참신하여라ㅠㅠㅠㅠ,0,0
네이버웹소설,연재본,1,2017-08-17 8:23,읽기 시작했습니다. 웹소설을 읽다보면 내용의 양쪽에 굉장히 넓은 공간이 존재 합니다. 이 공간에 작가의 프로필을 소개해 줬으면 어떨까하고 생각을 해보곤 합니다.,0,0
네이버웹소설,연재본,1,2017-08-12 17:12,그녀는 서큐버스,0,1
네이버웹소설,연재본,1,2017-08-08 6:28,정주행합니다!ㅎ,0,1
네이버웹소설,연재본,1,2017-06-03 15:14,이런 소재 너무 좋음~!!!!,0,1
네이버웹소설,연재본,1,2017-05-26 2:14,응?? 재밌겟당 ㅋㅋㅋㅋㅋㅋㅋ,0,1
네이버웹소설,연재본,1,2017-04-24 14:36,핰ㅋㅋㅋ 재밌겠다!!,0,1
네이버웹소설,연재본,1,2017-04-14 2:50,재밌어요! 작가님 화이팅!,0,1
네이버웹소설,연재본,1,2017-03-31 8:38,와 투명드래곤과 장금이가 만난기분이야 ㅠㅠㅠㅠㅠ뿜ㅋㅋㅋㅋㅋㅋㅋㅋ1화인데 벌써 사랑스럽다ㅌㅋㅋㅋㅌㅋㅋㅋㅋㅋ,0,1
네이버웹소설,연재본,1,2017-03-07 7:30,재미있는 소설발견!,0,1
네이버웹소설,연재본,1,2017-02-27 11:44,그렇게 던전은 클리어되고 .. 심청이는 전설의 용사가 되었다 .,0,1
네이버웹소설,연재본,1,2017-02-24 6:50,드래곤이 한식을...?,0,1
네이버웹소설,연재본,1,2017-02-21 8:17,와 엄청재미나네요 저도 글을쓰고있는데 완전부럽습니다 ㅠㅠ,0,1
네이버웹소설,연재본,1,2017-02-17 9:28,얘 뭐지......ㅋㅋ,0,1
네이버웹소설,연재본,1,2017-02-01 9:00,봉사는 맹인이 아닙니다.,0,0
네이버웹소설,연재본,1,2017-02-01 8:26,ㅋㅋㅋㅋ어떻게 레어까지 왔을까요,0,1
네이버웹소설,연재본,1,2017-01-31 10:49,이세계전이인가 색다롭네 심청이가 전이되다니.,0,1
네이버웹소설,연재본,1,2017-01-30 7:50,미친ㅋㅋㅋㅋㅋ 생각없이 이것도 흔한 소설이겠거니 했더니 반전ㅋㅋㄱㅋㅋㅋㅋㄱ개웃김ㅋㅋㅋㄱㄱ,0,1
네이버웹소설,연재본,1,2017-01-28 11:34,소재가 참신하네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅎㅎㅎㅎㅎㅎ,0,1
네이버웹소설,연재본,1,2017-01-27 3:26,어째서 드래곤이 사람이 됩니까?그것도 저렇게 잘생기게?,0,1
네이버웹소설,연재본,1,2017-01-25 16:43,푸하하하!!!!!!!!!! 이거 뭐냐능 !!!! 본격 드래곤이 한국음식 먹는 거냐능!!!! 푸하하!!!,0,1
네이버웹소설,연재본,1,2017-01-25 9:43,"푸핰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ엿드시어요, 용왕님 보고 흥미돋았는데 고민하다 1화 보고나는 중증 귀차니즘을 소유한 프로 귀차니스트인데 베르키스도 귀차니스트여서 귀차니스드 동지 발견ㅋ",0,1
네이버웹소설,연재본,1,2017-01-24 13:31,작가님ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그렇죠 야식은 진리죸ㅋㅋㅋㅋㅋㅋ,0,1
네이버웹소설,연재본,1,2017-01-24 12:28,심청이?,0,1
네이버웹소설,연재본,1,2017-01-24 4:48,와나 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개참신햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
네이버웹소설,연재본,1,2017-01-21 1:17,엿머그라해서옴,0,1
네이버웹소설,연재본,1,2017-01-20 15:05,이거 왕비가 된 효녀심청에 이어서 용왕요리사가 된 심청버전인가요...?,0,1
네이버웹소설,연재본,1,2017-01-20 10:42,아침형 드래곤ㅋㅋㅋㅋㅋ,0,1
네이버웹소설,연재본,1,2017-01-19 16:17,눈빛이 카카시 닮았어,0,1
네이버웹소설,연재본,1,2017-01-18 6:12,드래곤의눈이 가마보다크댓는데!!! 심청이머리보다작다!!! 심청이가심각한대두인것인가?!!!,0,2
네이버웹소설,연재본,1,2017-01-18 1:07,열렬히 환영합니다~~~~~!!!^^,0,0
네이버웹소설,연재본,1,2017-01-17 13:06,"일러스트도 예쁘고 내용도 좋아요!! 시대는 옛배경인데 대사는 별로 옛느낌 안나게 쓰시는 작가님들도 많은데 작가님은 옛말도 놓치지 않고 써주셔서 배경에 몰입도 잘되고 동양에 마법진, 드래곤 얘기하는 용이라닠ㅋㅋㅋㅋㅋ 앞으로의 작품들도 기대됩니다!!! 꼭꼭 챙겨볼게요!!",0,0
네이버웹소설,연재본,1,2017-01-17 9:02,응? 집채만한 드래곤 얼굴이라며 ㅋㅋㅋㅋㅋ 왜이리 작은게야,0,0
네이버웹소설,연재본,1,2017-01-17 6:32,드래곤이 국수를 먹게 되겠군!!풉!!,0,0
네이버웹소설,연재본,1,2017-01-14 2:31,한식먹는 드래곤이라...이런 소설 처음이야!신선한데?!,0,0
네이버웹소설,연재본,1,2017-01-13 10:35,재밌겠다,0,0
네이버웹소설,연재본,1,2017-01-13 8:51,야식이 살찌는 비결이라메요?,0,0
네이버웹소설,연재본,1,2017-01-13 8:29,오~~~~재미있겠는데,0,0
네이버웹소설,연재본,1,2017-01-13 5:16,하하하 ^^드래곤이 밥 냄새 땜에 잠을 못자는건가요?부러운 드래곤이군.청아 울집에 와서 밥하면 안되갰니?,0,0
네이버웹소설,연재본,1,2017-01-13 4:14,오나라 오나라~,0,0
네이버웹소설,연재본,1,2017-01-12 13:49,킁킁 대작의 냄새가 난다!,0,0
네이버웹소설,연재본,1,2017-01-12 13:34,...나도 야행성 닝겐인데...,0,0
네이버웹소설,연재본,1,2017-01-12 3:26,서양드래곤과동양소녀의만남인가?ㅋㅋㅋㅋㅋㄱㄱㅋ새로운조합이네ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-12 3:08,심청:하앗앗앗앗핫!용왕님!엿드실레요?용:?!심청:맛있는엿이완성되었습니다!ㅗ,0,0
네이버웹소설,연재본,1,2017-01-11 22:44,겁나 신선한 이 주제는 뭐죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-11 18:11,와 저 이런 거 좋아해요!서양판타지와 동양 시대물의 만남!,0,0
네이버웹소설,연재본,1,2017-01-11 15:42,드래곤 졸라 먼치킨이넼ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-11 4:58,광야의 야수 작가님이닷!  이번에는 라이트노벨이네요ㅋ,0,0
네이버웹소설,연재본,1,2017-01-10 14:37,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런 내용 완전 좋아 ㅋㅋㅋㅋ 조선과 판타지세계의 만남, 제 2의 환수의 소원이려나ㅋㅋㅋ 살맛날것같아.ㅋㅋㅋㅋㅋㅋㅋ",0,0
네이버웹소설,연재본,1,2017-01-10 10:49,드래곤 ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-10 9:35,아침형 드래곤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-10 2:11,아침형이라니.. 으으 끔찍해,0,0
네이버웹소설,연재본,1,2017-01-10 0:20,It' interesting!!! end.... funny.^^,0,1
네이버웹소설,연재본,1,2017-01-09 23:35,어떤  맛난걸로 드레곤을 깨울지~~지켜보겠습니다~~작가님화이팅,0,0
네이버웹소설,연재본,1,2017-01-09 18:39,재밌겠다!!,0,0
네이버웹소설,연재본,1,2017-01-09 15:56,소재 잘잡았네 굿이다.,0,0
네이버웹소설,연재본,1,2017-01-09 14:51,ㅁㅊ... 재밌어.. 한낱 소설따위가 나를 즐겁게하다니..... 이 작가의 소재는 천재다...,0,0
네이버웹소설,연재본,1,2017-01-09 6:26,어잌후 재밌닼ㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-09 5:26,백...백경...?,0,0
네이버웹소설,연재본,1,2017-01-09 2:35,으앗..... 배고프다ㅜㅜ,0,0
네이버웹소설,연재본,1,2017-01-09 1:41,익숙한 그림체다했는데 미안하지만 소름의 일러스트 작가분이셨군요!! 그때도 정말 신세를 졌지만 이번에도 좋은 일러스트 부탁드립니다!!,0,0
네이버웹소설,연재본,1,2017-01-09 0:19,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뒷내용이 너무 궁금해요ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-08 16:35,죄송합니다ㅠㅠ 원래 비율대로 그리면 청이가 밤하늘의 쿼크 입자보다 작아 보일 거 같았어요 ;ㅅ;...,0,0
네이버웹소설,연재본,1,2017-01-08 16:18,광야의 야수를 쓰신 작까님 오셨군요...,0,0
네이버웹소설,연재본,1,2017-01-08 16:04,드래곤의 머리가 지붕보다도 훨씬 크다고했는데일러에서는 청이몸이랑 큰 차이가 안나네요ㅠㅠ,0,0
네이버웹소설,연재본,1,2017-01-08 14:20,ㅋㅋㅋㅋㅋㅋㅋㅋ청이 너무 귀여운데!,0,1
네이버웹소설,연재본,1,2017-01-08 8:09,용쉪,0,0
네이버웹소설,연재본,1,2017-01-08 7:19,작가님이런 글로 다시 찾아와 주셔서 감사합니다,0,0
네이버웹소설,연재본,1,2017-01-08 6:58,"드래곤아, 넌 이제 심청이를 가정부로 쓰게 될거야. 아니, 요리사인가?",0,0
네이버웹소설,연재본,1,2017-01-08 2:36,아 넘나 재밌어요~~,0,0
네이버웹소설,연재본,1,2017-01-07 16:18,이거 왜 웃게되는 거지요? 그냥 웃읍시다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0,0
네이버웹소설,연재본,1,2017-01-07 14:44,믿고보는 작가님,0,0
네이버웹소설,연재본,1,2017-01-07 10:58,이런 쿠킹로맨스가 가능하다닠ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-07 9:45,와 작가님 다시 오셨군요 +_+이번에도 믿고 정주행하겠습니닷!!,0,0
네이버웹소설,연재본,1,2017-01-07 7:49,응 파충류 한마리 김치먹고 고혈압으로 쓰러질 각이고여,0,0
네이버웹소설,연재본,1,2017-01-07 6:23,근데 분명히 용의 머리가 기와집보다 훠월씬 크다 했는데 일러는 하나도 안 그래보임 소인국에서 온 청인가 요기와서 커진거고??,0,0
네이버웹소설,연재본,1,2017-01-07 2:52,담스꼴락싹스 ~ 담하나쓰 ~~,0,0
네이버웹소설,연재본,1,2017-01-07 2:17,관심등록!! 별점 10점!! 기대하겠습니다♥,0,0
네이버웹소설,연재본,1,2017-01-07 1:21,규칙 1:이 소설을 볼때는 먹거리를 1개이상 준비하기.....ㅋ푸흡크하학핳하,0,0
네이버웹소설,연재본,1,2017-01-07 1:19,어???? 잠깐!!! 재밌어서 넘기려는데 작대기가 없어?! 이게 1편???? 안돼!!!,0,0
네이버웹소설,연재본,1,2017-01-07 1:15,색다르다 ㅋㅋㅋㅋㅋㅋㅋ 재미있네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-07 1:02,오 이런 설정 참신하다 재밌다!!!!!,0,0
네이버웹소설,연재본,1,2017-01-06 17:29,이런류의 라노벨은 처음이네요ㅋㅋㅋ;,0,0
네이버웹소설,연재본,1,2017-01-06 17:01,광야의야수 처럼 이것도 로맨스소설각 카테고리 잘못됨,0,2
네이버웹소설,연재본,1,2017-01-06 14:46,헐....나 첫번쩨 베뎃됬냐?  이거...볼까말까 망설이고 있는 작품인데....,0,3
네이버웹소설,연재본,1,2017-01-06 14:40,,0,0
네이버웹소설,연재본,1,2017-01-06 14:33,용왕님 따끈따끈한 엿 드시어요 ㅎㅎ,0,0
네이버웹소설,연재본,1,2017-01-06 14:00,라노벨 전래동화가 흥하네,0,0
네이버웹소설,연재본,1,2017-01-06 13:11,용왕님 아침식사 하시어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 13:09,한식 세계화의 판타지 버전...,0,0
네이버웹소설,연재본,1,2017-01-06 12:40,전 요리쪽 웹소설 참좋아하는데 아 이복합판타지스타일 이장르참좋네요,0,0
네이버웹소설,연재본,1,2017-01-06 12:38,요리 판타지 인가요?일러도  귀엽고좋은 시간을 쭉쭉 같이 가길 기대합니다힘내세요,0,0
네이버웹소설,연재본,1,2017-01-06 12:24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나 설정 좋네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 반했엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이렇게 1화부터 나를 반하게 하는 소설은 처음!,0,0
네이버웹소설,연재본,1,2017-01-06 11:56,2017년 최고 작품 각,0,0
네이버웹소설,연재본,1,2017-01-06 11:37,베르키스 ㅋㅋㅋ 웬지 귀에 익은 이름이라서 ㅎㅎㅎ,0,0
네이버웹소설,연재본,1,2017-01-06 11:12,ㅋㅋㅋㅋㅋ 진짜 첫 설정 에피소드 읽고 이렇게 빵 터진거 처음이에요 심청이 손맛 해산물 요리 기대됩니다~~,0,0
네이버웹소설,연재본,1,2017-01-06 11:11,훟 작 가님!반갑습니당,0,0
네이버웹소설,연재본,1,2017-01-06 10:42,밥 해주는 사람도 생기고...부럽군,0,0
네이버웹소설,연재본,1,2017-01-06 10:40,별점보소,0,0
네이버웹소설,연재본,1,2017-01-06 10:28,아무것도 않하고 싶다... 이미 아무것도 않하고 있지만 더 격렬하게 아무것도 않하고 싶다...,0,0
네이버웹소설,연재본,1,2017-01-06 10:25,왘ㅋㅋㅋㅋㅋ 첫화부터 겁나 웃겼어욬ㅋㅋㅋㅋ 드래곤 한식... 아침형 드래곤....!! 이런 신선한 소설 기대합니다!,0,0
네이버웹소설,연재본,1,2017-01-06 10:07,귀여운 청이와 드래곤의 만남ㅋㅋㅋ 기대해보겠습니다~:),0,1
네이버웹소설,연재본,1,2017-01-06 10:06,아침형 드래곤ㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 10:01,아침형 드래곤ㅋㅋ  신선하네요,0,0
네이버웹소설,연재본,1,2017-01-06 9:58,심청전의 그 진짜이야깈ㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 9:48,표지부터 남다르군요ㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 9:34,배고파지는 소설 하나더찾아냄.....   그래도   잼남 ㅜㅡㅜ,0,0
네이버웹소설,연재본,1,2017-01-06 9:05,이 무슨 신선한 소설이란 말인가!!!!!!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 8:54,건필하십쇼,0,0
네이버웹소설,연재본,1,2017-01-06 8:49,재미있을것 같고 기대되네요 드래곤이 귀차니스트 인데 어느 순간 귀차니즘이 사라지는거 아니예요,0,0
네이버웹소설,연재본,1,2017-01-06 8:45,작가님 드뎌 오셨군요~^^무쟈게 반갑습니다!!!  첫화부터 잼나네요♡,0,0
네이버웹소설,연재본,1,2017-01-06 8:17,오오,0,0
네이버웹소설,연재본,1,2017-01-06 7:49,베르키스라 참 익숙한 이름이네요.... 레드에서 실버로 변하긴 했지만요,0,0
네이버웹소설,연재본,1,2017-01-06 7:28,좋다,0,0
네이버웹소설,연재본,1,2017-01-06 7:27,뭔가 재밌을거같아 기대하겠습니다,0,0
네이버웹소설,연재본,1,2017-01-06 7:21,히야 신박 그 자체! 누가 드래곤을 아침형으로 만들생각을 할까 ㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 6:55,우와 이야기가 참 재미있어요,0,0
네이버웹소설,연재본,1,2017-01-06 6:53,근데 소개에 크고 아름다운 엿이라고...ㅋㅋ먹는 엿 말고 다른 생각한 사람 분명히 있다에 나의 치느님을 걸겠어 왜냐하면 내가 그랬으니까,0,0
네이버웹소설,연재본,1,2017-01-06 6:51,나의 금요일을 책임져줄 웹소설을 드디어 만났군,0,0
네이버웹소설,연재본,1,2017-01-06 6:33,이세계 용왕님 전용 요리사?ㅎㅎㅎ,0,0
네이버웹소설,연재본,1,2017-01-06 6:26,뭔가 재밋어보이는데요!,0,0
네이버웹소설,연재본,1,2017-01-06 6:20,작가님 오셨네요ㅋㅋㅋㅋ고전동화와 판타지의 조화라니 기대되네요ㅋㅋㅋㅋ심청이는 용왕님이 아니라 드래곤의 반려ㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 6:01,작가님 상상력 대박ㅋㅋㅋㅋㅋ아침형 드래곤ㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 5:55,앜ㅋㅋㅋㅋ 와 이런 소재 너무 참신해요!!! 앞으로의 일들이 너무나도 궁금해집니다! :D,0,0
네이버웹소설,연재본,1,2017-01-06 5:06,뭐야 이소설 재미있잖아?!!!!!,0,0
네이버웹소설,연재본,1,2017-01-06 5:01,용왕님 엿 드시어요... ㅍㅂㅍ!!,0,0
네이버웹소설,연재본,1,2017-01-06 4:55,재밌네요.  앞으로의 전개가 무지 궁금해지네요.  웹소설은 처음이라 더 궁금해집니다,0,0
네이버웹소설,연재본,1,2017-01-06 4:27,ㅋㅋㅋㅋㅋㅋ 아침형 드래곤... ㅋㅋㅋㅋㅋ자기 성향 바꾸는거 정말 어려운데 ㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 4:00,크헉...뜬금없이 클릭잘못했다가 끝까지일ㅋ고 갑니다 다음편 기대되네요,0,1
네이버웹소설,연재본,1,2017-01-06 3:54,재밌겠다!,0,0
네이버웹소설,연재본,1,2017-01-06 3:53,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 육성으로 터졌다.,0,0
네이버웹소설,연재본,1,2017-01-06 3:53,드래곤판 삼시세끼! 지금부터 시작합니다!,0,0
네이버웹소설,연재본,1,2017-01-06 3:42,앜ㅋㅋㅋㅋ완전 신선해ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 3:33,인당수와 던전이 이어져있었다뉘청이의 손맛으로우리 드래곤씨는 건강해지겠네요한식의 세계화  ㅎㅎ,0,0
네이버웹소설,연재본,1,2017-01-06 3:25,아침형 드래곤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 3:23,드래곤이 한식을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오지네 진짜ㅋㅋㅋㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 3:22,심청이랑 던전이랑 드래곤 조합? ㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 3:14,오. 심청전의 새로운 재해석이네요.재미있겠어요.관심등록하고 갑니다.,0,0
네이버웹소설,연재본,1,2017-01-06 3:06,기대됩니다. 재미있네요.,0,0
네이버웹소설,연재본,1,2017-01-06 3:05,재밌네욬ㅋㅋㅋㅋㅋ 이제 올빼미족 드래곤이 밥먹으려고 아침에 일어나 삼시새끼 다 챙겨먹게 되는 소설인가요?ㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 2:58,뭐 이런 조합이....ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 2:57,베르키스 완전 내 취향~♡-♡,0,0
네이버웹소설,연재본,1,2017-01-06 2:54,아침형 드레곤~~~ㅎㅎㅎㅎㅎㅎㅎ그나저나 금요일에 볼만한 소설이 또하나 생겼네요^^,0,0
네이버웹소설,연재본,1,2017-01-06 2:54,아 재밌다 이런 신선한 소재란 캬하~~~~,0,0
네이버웹소설,연재본,1,2017-01-06 2:46,재밌어요 ㅋㅋㅋ 다른 웹소설들은 눈에 안들어왔는데 이건 유쾌하고 재밌네영ㅋㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 2:41,작가님 글 너무 좋아요~앞으로 쭉 정주행 하겠습니다,0,0
네이버웹소설,연재본,1,2017-01-06 2:38,사로잡힐 운명이래ㄲㅋㅋㅋㅋㅋㅋㅋㅋㅋ드래곤이 왤케 귀엽냐ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 2:38,청이가 사실은 장금이였나,0,0
네이버웹소설,연재본,1,2017-01-06 2:32,뭐지 이 쓸데없이 잉여하고 게으른 드래곤은...,0,0
네이버웹소설,연재본,1,2017-01-06 2:13,작가님. . .어디갔다 이제오셨어요?한창 기다렸잖아욧!,0,0
네이버웹소설,연재본,1,2017-01-06 2:12,어 공양미 삼백석에 심봉사는 눈을 못떴으니까 스님들이 사기친건가?심봉사는 눈 뜰지 안뜰지도 모르는 도박에 딸 팔아먹은 건가?효라는 미명아래 죽어나간 심청이가 불쌍하다근데 이건 ㅋㅋㅋㅋ 용왕이 아니라 드래곤이네 생각지도 못한 곳에서 빵터짐 ㅋㅋㅋ,0,0
네이버웹소설,연재본,1,2017-01-06 2:10,베르키스가 마룡 쫓아내고 레어 차지했다고 글에 나와요앞으로 내용 너무 기대됩니다!,0,0
